id,cliente_id,valor,data,intervalo
2275,73,-1.0,2020-12-11 20:45:55-03:00,0 days 00:00:25
2278,73,-1.0,2020-12-11 21:03:08-03:00,0 days 00:00:23
2279,73,-1.0,2020-12-11 21:03:58-03:00,0 days 00:00:50
2280,73,-2.0,2020-12-11 21:04:17-03:00,0 days 00:00:19
2281,73,-2.0,2020-12-11 21:04:54-03:00,0 days 00:00:37
2282,73,-1.0,2020-12-11 21:06:52-03:00,0 days 00:01:58
2283,73,-1.0,2020-12-11 21:08:14-03:00,0 days 00:01:22
2284,73,-1.0,2020-12-11 21:08:43-03:00,0 days 00:00:29
2286,73,-2.0,2020-12-11 21:08:59-03:00,0 days 00:00:16
2287,73,-2.0,2020-12-11 21:10:30-03:00,0 days 00:01:31
2288,73,-1.0,2020-12-11 21:11:00-03:00,0 days 00:00:30
2289,73,-9.0,2020-12-11 21:11:33-03:00,0 days 00:00:33
2294,73,-2.0,2020-12-11 21:26:51-03:00,0 days 00:00:26
2295,73,-2.0,2020-12-11 21:27:35-03:00,0 days 00:00:44
2297,73,-2.0,2020-12-11 21:28:50-03:00,0 days 00:01:15
2298,73,-1.0,2020-12-11 21:29:16-03:00,0 days 00:00:26
2299,73,-5.0,2020-12-11 21:29:58-03:00,0 days 00:00:42
2300,73,-5.0,2020-12-11 21:30:31-03:00,0 days 00:00:33
2301,73,-2.0,2020-12-11 21:31:24-03:00,0 days 00:00:53
2302,73,-2.0,2020-12-11 21:32:13-03:00,0 days 00:00:49
2303,73,-2.0,2020-12-11 21:32:50-03:00,0 days 00:00:37
2304,73,-2.0,2020-12-11 21:33:26-03:00,0 days 00:00:36
2305,73,-5.0,2020-12-11 21:33:55-03:00,0 days 00:00:29
2306,73,-1.0,2020-12-11 21:34:23-03:00,0 days 00:00:28
2307,73,-1.0,2020-12-11 21:34:52-03:00,0 days 00:00:29
2308,73,-4.0,2020-12-11 21:35:21-03:00,0 days 00:00:29
2309,73,-4.0,2020-12-11 21:35:44-03:00,0 days 00:00:23
2310,73,-4.0,2020-12-11 21:36:26-03:00,0 days 00:00:42
2311,73,-5.0,2020-12-11 21:37:54-03:00,0 days 00:01:28
2312,73,-2.0,2020-12-11 21:38:29-03:00,0 days 00:00:35
2315,73,-1.0,2020-12-11 22:01:20-03:00,0 days 00:00:17
2316,73,-2.0,2020-12-11 22:01:47-03:00,0 days 00:00:27
2317,73,-5.0,2020-12-11 22:02:12-03:00,0 days 00:00:25
2318,73,-1.0,2020-12-11 22:02:44-03:00,0 days 00:00:32
2320,73,-1.0,2020-12-11 22:06:04-03:00,0 days 00:00:20
2321,73,-1.0,2020-12-11 22:06:29-03:00,0 days 00:00:25
2360,73,-3.0,2020-12-12 18:24:06-03:00,0 days 00:00:27
2361,73,-2.0,2020-12-12 18:24:28-03:00,0 days 00:00:22
2363,73,-2.0,2020-12-12 18:49:51-03:00,0 days 00:01:33
2365,73,-2.0,2020-12-12 18:59:27-03:00,0 days 00:00:30
2368,73,-2.0,2020-12-12 19:12:41-03:00,0 days 00:01:57
2371,73,-1.0,2020-12-12 19:18:58-03:00,0 days 00:00:49
2380,73,-4.0,2020-12-12 19:44:46-03:00,0 days 00:00:32
2384,73,-1.0,2020-12-12 19:50:57-03:00,0 days 00:00:39
2385,73,-2.0,2020-12-12 19:51:19-03:00,0 days 00:00:22
2386,73,-5.0,2020-12-12 19:51:48-03:00,0 days 00:00:29
2387,73,-10.0,2020-12-12 19:52:12-03:00,0 days 00:00:24
2392,73,-10.0,2020-12-12 20:10:06-03:00,0 days 00:00:24
